,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,backshift,frontshift,opening,centering,closing,longdistance,secondrounded,rising,falling,contour
c͡ç,-,-,+,-,+,-,-,0,-,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
²¹²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,-,+,+
ɡ͡ɣ,-,-,+,-,+,-,-,0,+,-,-,-,-,0,-,+,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ŋ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,+,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ɡ͡b,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
d̪͡ð,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
⁵²⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,-,+,+
²¹³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,-,+,+
²¹¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,-,+,-
¹⁵²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,+
¹⁵³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,+
œ,+,+,-,+,-,-,-,0,+,-,-,0,-,0,-,-,-,-,+,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
¹⁵¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,+
kp,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ũ,+,+,-,+,-,-,+,0,+,-,-,0,-,0,+,+,-,+,+,-,+,-,0,0,0,0,0,0,0,0,0,0,0,0
kx,-,-,+,-,+,-,-,0,-,-,-,-,-,0,-,+,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
tθʰ,-,-,+,-,+,-,-,0,-,+,-,+,+,+,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
qχ,-,-,+,-,+,-,-,0,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
d̪z̪,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
bβ,-,-,+,-,+,-,-,-,+,-,-,+,-,0,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
p͡f,-,-,+,-,+,-,-,+,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
p͡t,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
p͡ɸ,-,-,+,-,+,-,-,-,-,-,-,+,-,0,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
⁴³³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,-
β,-,-,+,+,-,-,-,-,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
t̪ɬ̪,-,-,+,-,+,+,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
t̪͡ɬ̪,-,-,+,-,+,+,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
θ,-,-,+,+,-,-,-,0,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ᶿ,-,-,+,+,-,-,-,0,-,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ǀ,-,-,+,-,-,-,-,0,-,-,-,+,+,+,-,+,-,0,-,+,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʈ͡ʂ,-,-,+,-,+,-,-,0,-,-,-,-,+,-,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ǁ,-,-,+,-,-,+,-,0,-,-,-,+,+,-,-,+,-,0,-,+,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ǂ,-,-,+,-,-,-,-,0,-,-,-,-,+,+,-,+,-,0,-,+,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ǃ,-,-,+,-,-,-,-,0,-,-,-,+,+,-,-,+,-,0,-,+,0,-,0,0,0,0,0,0,0,0,0,0,0,0
χ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
g͡ɣ,-,-,+,-,+,-,-,0,+,-,-,-,-,0,-,+,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
⁵⁴⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,-,+,-
g͡b,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
⁵⁴⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,-,+,+
⁴²³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,+
⁴²²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,-
ǝ,+,+,-,+,-,-,-,0,+,-,-,0,-,0,-,-,-,+,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
t͡θ,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
⁵³³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,-,+,-
⁴³⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,+
⁴³⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,+
z̪,-,-,+,+,-,-,-,0,+,-,-,+,+,+,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ɟ͡ʝ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
³²⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,+
pf,-,-,+,-,+,-,-,+,-,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
³²⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,+
